sequence,obstacles,min_center_distance_m,min_boundary_clearance_m,closest_time_s,closest_index,closest_obstacle_index,collision,safety_violation,safety_distance_m,path_length_m,duration_s,mean_speed_mps,avoidance_label,computation_time_ms,method,planner_compute_time_ms,waypoint_count,smoothness_heading_change,safe_count,warning_count,danger_count,collision_count,future_risk_count,danger_or_collision_rate,future_risk_rate
3,1,0.6348,0.4348,6.425,514,0,0,1,0.5,6.9385,8.925,0.7774,left,0.1086,human,0.0,715,0.073637,597,75,43,0,123,0.0601,0.172
3,1,0.6922,0.4922,6.0625,485,0,0,1,0.5,6.8388,8.925,0.7663,left,0.041,straight_line,1.2587,2,0.0,564,129,22,0,102,0.0308,0.1427
3,1,0.9435,0.7435,6.1875,495,0,0,0,0.5,6.861,8.925,0.7687,left,0.0377,geometric_bypass,2.741,3,3.8e-05,631,84,0,0,0,0.0,0.0
3,1,0.712,0.512,6.0375,483,0,0,0,0.5,6.8,8.925,0.7619,left,0.0369,astar_grid,2.1492,69,0.0,568,147,0,0,0,0.0,0.0
3,1,0.7492,0.5492,6.1,488,0,0,0,0.5,6.8862,8.925,0.7716,left,0.0329,rrt,21.5548,3,0.000212,578,137,0,0,0,0.0,0.0
3,1,0.728,0.528,6.075,486,0,0,0,0.5,6.8443,8.925,0.7669,left,0.0313,rrt_star,117.2981,4,2.9e-05,572,143,0,0,0,0.0,0.0
3,1,0.9435,0.7435,6.1875,495,0,0,0,0.5,6.861,8.925,0.7687,left,0.0363,mppi,3.7921,60,3.6e-05,631,84,0,0,0,0.0,0.0
10,1,1.03,0.83,9.325,746,0,0,0,0.5,7.2208,14.425,0.5006,left,0.0675,human,0.0,1155,0.340915,1155,0,0,0,0,0.0,0.0
10,1,0.9742,0.7742,10.3125,825,0,0,0,0.5,6.0936,14.425,0.4224,left,0.0507,straight_line,1.9354,2,0.0,1070,85,0,0,0,0.0,0.0
10,1,0.9742,0.7742,10.3125,825,0,0,0,0.5,6.0936,14.425,0.4224,left,0.0409,geometric_bypass_not_needed,1.9279,2,0.0,1070,85,0,0,0,0.0,0.0
10,1,1.0,0.8,10.6875,855,0,0,0,0.5,6.4529,14.425,0.4473,left,0.0422,astar_grid,7.101,61,0.003132,1155,0,0,0,0,0.0,0.0
10,1,0.9742,0.7742,10.3125,825,0,0,0,0.5,6.0936,14.425,0.4224,left,0.0603,rrt,1.9423,2,0.0,1070,85,0,0,0,0.0,0.0
10,1,0.9742,0.7742,10.3125,825,0,0,0,0.5,6.0936,14.425,0.4224,left,0.0525,rrt_star,2.2995,2,0.0,1070,85,0,0,0,0.0,0.0
10,1,0.9742,0.7742,10.3125,825,0,0,0,0.5,6.0936,14.425,0.4224,left,0.0445,mppi,4.1413,60,0.0,1070,85,0,0,0,0.0,0.0
345,2,1.1689,0.9689,8.6875,695,0,0,0,0.5,8.6107,12.325,0.6986,left,0.1039,human,0.0,987,0.768067,987,0,0,0,0,0.0,0.0
345,2,0.1501,-0.0499,8.175,654,0,1,1,0.5,6.8892,12.325,0.559,straight/near-center,0.068,straight_line,1.6672,2,0.0,467,204,278,38,476,0.3202,0.4823
345,2,0.8982,0.6982,8.6,688,0,0,0,0.5,7.0929,12.325,0.5755,left,0.0705,geometric_bypass,3.6472,4,0.000127,712,275,0,0,0,0.0,0.0
345,2,0.7155,0.5155,8.75,700,0,0,0,0.5,7.2909,12.325,0.5916,left,0.064,astar_grid,7.7233,57,0.008506,645,342,0,0,0,0.0,0.0
345,2,0.7796,0.5796,8.6125,689,0,0,0,0.5,7.2823,12.325,0.5909,left,0.0623,rrt,2.406,3,0.000413,818,169,0,0,0,0.0,0.0
345,2,0.8057,0.6057,3.3625,269,1,0,0,0.5,7.2819,12.325,0.5908,left,0.0627,rrt_star,106.9305,11,0.000683,840,147,0,0,0,0.0,0.0
345,2,0.8982,0.6982,8.5875,687,0,0,0,0.5,7.0895,12.325,0.5752,left,0.0709,mppi,5.3917,60,6.6e-05,712,275,0,0,0,0.0,0.0
