sequence,frames,model_id,device,platform,machine,processor,duration_s,wall_seconds,inference_seconds,seconds_per_frame,inference_seconds_per_frame,output
1,60,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,arm,12.05,6.9521,4.3999,0.115869,0.073332,data/processed/metric_depth/1/metric_depth_5fps.npz
2,49,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,arm,9.825,5.368,3.4136,0.109551,0.069665,data/processed/metric_depth/2/metric_depth_5fps.npz
3,44,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,arm,8.925,5.0997,3.0355,0.115902,0.068989,data/processed/metric_depth/3/metric_depth_5fps.npz
4,74,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,arm,14.8125,13.3228,6.4929,0.180038,0.087742,data/processed/metric_depth/4/metric_depth_5fps.npz
5,59,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,arm,11.975,14.9678,5.9619,0.253691,0.101049,data/processed/metric_depth/5/metric_depth_5fps.npz
6,58,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,arm,11.6,13.8177,5.9888,0.238236,0.103255,data/processed/metric_depth/6/metric_depth_5fps.npz
7,38,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,arm,7.6,9.0547,3.8168,0.238281,0.100443,data/processed/metric_depth/7/metric_depth_5fps.npz
8,53,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,arm,10.7375,11.7858,5.1555,0.222374,0.097273,data/processed/metric_depth/8/metric_depth_5fps.npz
9,49,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,arm,9.8375,10.5897,4.6535,0.216116,0.094969,data/processed/metric_depth/9/metric_depth_5fps.npz
10,72,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,arm,14.425,15.6676,6.9652,0.217605,0.096739,data/processed/metric_depth/10/metric_depth_5fps.npz
11,73,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,arm,14.725,14.2695,6.6404,0.195473,0.090964,data/processed/metric_depth/11/metric_depth_5fps.npz
12,42,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,arm,8.4375,7.3889,3.4713,0.175927,0.082649,data/processed/metric_depth/12/metric_depth_5fps.npz
13,53,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,arm,10.7125,10.6694,4.7622,0.201309,0.089853,data/processed/metric_depth/13/metric_depth_5fps.npz
14,49,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,arm,9.825,9.8814,4.2888,0.201662,0.087526,data/processed/metric_depth/14/metric_depth_5fps.npz
15,28,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,mps,macOS-26.1-arm64-arm-64bit-Mach-O,arm64,arm,5.6,4.9147,2.2082,0.175524,0.078866,data/processed/metric_depth/15/metric_depth_5fps.npz
