planner,uav_speed_mps,cases,safe_count,violation_count,collision_count,failure_count,safe_rate_pct,violation_rate_pct,collision_rate_pct,failure_rate_pct,mean_planner_compute_ms,mean_total_delay_ms,mean_delay_distance_m,mean_min_body_clearance_m
mppi_3d_esdf,1.0,8,8,0,0,0,100.0,0.0,0.0,0.0,40.343,156.225,0.1562,0.3822
mppi_3d_esdf,2.0,8,8,0,0,0,100.0,0.0,0.0,0.0,101.127,217.009,0.434,0.3448
mppi_3d_esdf,3.0,8,8,0,0,0,100.0,0.0,0.0,0.0,214.407,330.289,0.9909,0.4471
mppi_3d_esdf,4.0,8,8,0,0,0,100.0,0.0,0.0,0.0,181.35,297.231,1.1889,0.4158
mppi_3d_esdf,5.0,8,0,3,5,0,0.0,37.5,62.5,0.0,251.894,367.775,1.8389,-0.0929
mppi_3d_esdf,6.0,8,0,6,2,0,0.0,75.0,25.0,0.0,179.974,295.855,1.7751,0.0021
rrt,1.0,8,5,3,0,0,62.5,37.5,0.0,0.0,3.459,119.34,0.1193,0.2961
rrt,2.0,8,5,3,0,0,62.5,37.5,0.0,0.0,2.45,118.332,0.2366,0.3206
rrt,3.0,8,6,2,0,0,75.0,25.0,0.0,0.0,2.958,118.839,0.3565,0.3212
rrt,4.0,8,4,4,0,0,50.0,50.0,0.0,0.0,2.852,118.734,0.4749,0.2841
rrt,5.0,8,6,2,0,0,75.0,25.0,0.0,0.0,2.244,118.125,0.5906,0.3242
rrt,6.0,8,7,1,0,0,87.5,12.5,0.0,0.0,2.801,118.683,0.7121,0.3737
rrt_star,1.0,8,7,1,0,0,87.5,12.5,0.0,0.0,106.603,222.484,0.2225,0.3122
rrt_star,2.0,8,6,2,0,0,75.0,25.0,0.0,0.0,108.392,224.273,0.4485,0.2594
rrt_star,3.0,8,3,5,0,0,37.5,62.5,0.0,0.0,102.017,217.899,0.6537,0.2541
rrt_star,4.0,8,4,4,0,0,50.0,50.0,0.0,0.0,146.789,262.671,1.0507,0.2442
rrt_star,5.0,8,5,2,1,1,62.5,25.0,12.5,12.5,103.559,219.44,1.0972,0.2101
rrt_star,6.0,8,0,1,7,7,0.0,12.5,87.5,87.5,25.604,141.485,0.8489,-0.2148
