method,obstacle_radius_m,safety_margin_m,trials,collision_rate,violation_rate,mean_min_clearance_m
astar_grid,0.15,0.3,300,0.0,0.0,0.692638
astar_grid,0.15,0.4,300,0.0,0.0,0.692638
astar_grid,0.15,0.5,300,0.0,0.0,0.692638
astar_grid,0.15,0.6,300,0.0,0.663333,0.692638
astar_grid,0.2,0.3,300,0.0,0.0,0.642638
astar_grid,0.2,0.4,300,0.0,0.0,0.642638
astar_grid,0.2,0.5,300,0.0,0.0,0.642638
astar_grid,0.2,0.6,300,0.0,0.723333,0.642638
astar_grid,0.25,0.3,300,0.0,0.0,0.592638
astar_grid,0.25,0.4,300,0.0,0.0,0.592638
astar_grid,0.25,0.5,300,0.0,0.663333,0.592638
astar_grid,0.25,0.6,300,0.0,0.76,0.592638
astar_grid,0.3,0.3,300,0.0,0.0,0.542638
astar_grid,0.3,0.4,300,0.0,0.0,0.542638
astar_grid,0.3,0.5,300,0.0,0.723333,0.542638
astar_grid,0.3,0.6,300,0.0,0.806667,0.542638
geometric_bypass,0.15,0.3,196,0.0,0.0,0.750469
geometric_bypass,0.15,0.4,196,0.0,0.0,0.750469
geometric_bypass,0.15,0.5,196,0.0,0.0,0.750469
geometric_bypass,0.15,0.6,196,0.0,0.020408,0.750469
geometric_bypass,0.2,0.3,196,0.0,0.0,0.700469
geometric_bypass,0.2,0.4,196,0.0,0.0,0.700469
geometric_bypass,0.2,0.5,196,0.0,0.005102,0.700469
geometric_bypass,0.2,0.6,196,0.0,0.056122,0.700469
geometric_bypass,0.25,0.3,196,0.0,0.0,0.650469
geometric_bypass,0.25,0.4,196,0.0,0.0,0.650469
geometric_bypass,0.25,0.5,196,0.0,0.020408,0.650469
geometric_bypass,0.25,0.6,196,0.0,0.107143,0.650469
geometric_bypass,0.3,0.3,196,0.0,0.0,0.600469
geometric_bypass,0.3,0.4,196,0.0,0.005102,0.600469
geometric_bypass,0.3,0.5,196,0.0,0.056122,0.600469
geometric_bypass,0.3,0.6,196,0.0,0.331633,0.600469
geometric_bypass_not_needed,0.15,0.3,104,0.0,0.0,0.914733
geometric_bypass_not_needed,0.15,0.4,104,0.0,0.0,0.914733
geometric_bypass_not_needed,0.15,0.5,104,0.0,0.0,0.914733
geometric_bypass_not_needed,0.15,0.6,104,0.0,0.163462,0.914733
geometric_bypass_not_needed,0.2,0.3,104,0.0,0.0,0.864733
geometric_bypass_not_needed,0.2,0.4,104,0.0,0.0,0.864733
geometric_bypass_not_needed,0.2,0.5,104,0.0,0.0,0.864733
geometric_bypass_not_needed,0.2,0.6,104,0.0,0.269231,0.864733
geometric_bypass_not_needed,0.25,0.3,104,0.0,0.0,0.814733
geometric_bypass_not_needed,0.25,0.4,104,0.0,0.0,0.814733
geometric_bypass_not_needed,0.25,0.5,104,0.0,0.163462,0.814733
geometric_bypass_not_needed,0.25,0.6,104,0.0,0.365385,0.814733
geometric_bypass_not_needed,0.3,0.3,104,0.0,0.0,0.764733
geometric_bypass_not_needed,0.3,0.4,104,0.0,0.0,0.764733
geometric_bypass_not_needed,0.3,0.5,104,0.0,0.269231,0.764733
geometric_bypass_not_needed,0.3,0.6,104,0.0,0.413462,0.764733
human,0.15,0.3,300,0.053333,0.156667,0.662586
human,0.15,0.4,300,0.053333,0.273333,0.662586
human,0.15,0.5,300,0.053333,0.4,0.662586
human,0.15,0.6,300,0.053333,0.503333,0.662586
human,0.2,0.3,300,0.073333,0.206667,0.612586
human,0.2,0.4,300,0.073333,0.353333,0.612586
human,0.2,0.5,300,0.073333,0.446667,0.612586
human,0.2,0.6,300,0.073333,0.546667,0.612586
human,0.25,0.3,300,0.09,0.273333,0.562586
human,0.25,0.4,300,0.09,0.4,0.562586
human,0.25,0.5,300,0.09,0.503333,0.562586
human,0.25,0.6,300,0.09,0.576667,0.562586
human,0.3,0.3,300,0.1,0.353333,0.512586
human,0.3,0.4,300,0.1,0.446667,0.512586
human,0.3,0.5,300,0.1,0.546667,0.512586
human,0.3,0.6,300,0.1,0.616667,0.512586
mppi,0.15,0.3,300,0.0,0.0,0.807403
mppi,0.15,0.4,300,0.0,0.0,0.807403
mppi,0.15,0.5,300,0.0,0.0,0.807403
mppi,0.15,0.6,300,0.0,0.07,0.807403
mppi,0.2,0.3,300,0.0,0.0,0.757403
mppi,0.2,0.4,300,0.0,0.0,0.757403
mppi,0.2,0.5,300,0.0,0.003333,0.757403
mppi,0.2,0.6,300,0.0,0.13,0.757403
mppi,0.25,0.3,300,0.0,0.0,0.707403
mppi,0.25,0.4,300,0.0,0.0,0.707403
mppi,0.25,0.5,300,0.0,0.07,0.707403
mppi,0.25,0.6,300,0.0,0.196667,0.707403
mppi,0.3,0.3,300,0.0,0.0,0.657403
mppi,0.3,0.4,300,0.0,0.003333,0.657403
mppi,0.3,0.5,300,0.0,0.13,0.657403
mppi,0.3,0.6,300,0.0,0.36,0.657403
rrt,0.15,0.3,300,0.0,0.0,0.720212
rrt,0.15,0.4,300,0.0,0.0,0.720212
rrt,0.15,0.5,300,0.0,0.0,0.720212
rrt,0.15,0.6,300,0.0,0.37,0.720212
rrt,0.2,0.3,300,0.0,0.0,0.670212
rrt,0.2,0.4,300,0.0,0.0,0.670212
rrt,0.2,0.5,300,0.0,0.0,0.670212
rrt,0.2,0.6,300,0.0,0.593333,0.670212
rrt,0.25,0.3,300,0.0,0.0,0.620212
rrt,0.25,0.4,300,0.0,0.0,0.620212
rrt,0.25,0.5,300,0.0,0.37,0.620212
rrt,0.25,0.6,300,0.0,0.716667,0.620212
rrt,0.3,0.3,300,0.0,0.0,0.570212
rrt,0.3,0.4,300,0.0,0.0,0.570212
rrt,0.3,0.5,300,0.0,0.593333,0.570212
rrt,0.3,0.6,300,0.0,0.776667,0.570212
rrt_star,0.15,0.3,300,0.0,0.0,0.685997
rrt_star,0.15,0.4,300,0.0,0.0,0.685997
rrt_star,0.15,0.5,300,0.0,0.0,0.685997
rrt_star,0.15,0.6,300,0.0,0.68,0.685997
rrt_star,0.2,0.3,300,0.0,0.0,0.635997
rrt_star,0.2,0.4,300,0.0,0.0,0.635997
rrt_star,0.2,0.5,300,0.0,0.0,0.635997
rrt_star,0.2,0.6,300,0.0,0.74,0.635997
rrt_star,0.25,0.3,300,0.0,0.0,0.585997
rrt_star,0.25,0.4,300,0.0,0.0,0.585997
rrt_star,0.25,0.5,300,0.0,0.68,0.585997
rrt_star,0.25,0.6,300,0.0,0.78,0.585997
rrt_star,0.3,0.3,300,0.0,0.0,0.535997
rrt_star,0.3,0.4,300,0.0,0.0,0.535997
rrt_star,0.3,0.5,300,0.0,0.74,0.535997
rrt_star,0.3,0.6,300,0.0,0.796667,0.535997
straight_line,0.15,0.3,300,0.09,0.366667,0.47035
straight_line,0.15,0.4,300,0.09,0.51,0.47035
straight_line,0.15,0.5,300,0.09,0.626667,0.47035
straight_line,0.15,0.6,300,0.09,0.71,0.47035
straight_line,0.2,0.3,300,0.14,0.44,0.42035
straight_line,0.2,0.4,300,0.14,0.563333,0.42035
straight_line,0.2,0.5,300,0.14,0.653333,0.42035
straight_line,0.2,0.6,300,0.14,0.746667,0.42035
straight_line,0.25,0.3,300,0.183333,0.51,0.37035
straight_line,0.25,0.4,300,0.183333,0.626667,0.37035
straight_line,0.25,0.5,300,0.183333,0.71,0.37035
straight_line,0.25,0.6,300,0.183333,0.78,0.37035
straight_line,0.3,0.3,300,0.223333,0.563333,0.32035
straight_line,0.3,0.4,300,0.223333,0.653333,0.32035
straight_line,0.3,0.5,300,0.223333,0.746667,0.32035
straight_line,0.3,0.6,300,0.223333,0.796667,0.32035
