source,method,metric,n,count,rate,wilson95_low,wilson95_high
planner_300,astar_grid,collision_rate,300,0,0.0,0.0,0.012643
planner_300,astar_grid,safety_violation_rate,300,0,0.0,0.0,0.012643
planner_300,geometric_bypass,collision_rate,196,0,0.0,0.0,0.019223
planner_300,geometric_bypass,safety_violation_rate,196,1,0.005102,0.000901,0.02833
planner_300,geometric_bypass_not_needed,collision_rate,104,0,0.0,0.0,0.035623
planner_300,geometric_bypass_not_needed,safety_violation_rate,104,0,0.0,0.0,0.035623
planner_300,human,collision_rate,300,22,0.073333,0.048924,0.108532
planner_300,human,safety_violation_rate,300,134,0.446667,0.391436,0.503246
planner_300,mppi,collision_rate,300,0,0.0,0.0,0.012643
planner_300,mppi,safety_violation_rate,300,1,0.003333,0.000589,0.018637
planner_300,rrt,collision_rate,300,0,0.0,0.0,0.012643
planner_300,rrt,safety_violation_rate,300,0,0.0,0.0,0.012643
planner_300,rrt_star,collision_rate,300,0,0.0,0.0,0.012643
planner_300,rrt_star,safety_violation_rate,300,0,0.0,0.0,0.012643
planner_300,straight_line,collision_rate,300,42,0.14,0.105271,0.183832
planner_300,straight_line,safety_violation_rate,300,196,0.653333,0.597847,0.704942
bc_test,filtered_bc_mppi,collision_rate,45,2,0.044444,0.012274,0.148278
bc_test,filtered_bc_mppi,safety_violation_rate,45,3,0.066667,0.022932,0.178569
bc_test,plain_bc_mppi,collision_rate,45,2,0.044444,0.012274,0.148278
bc_test,plain_bc_mppi,safety_violation_rate,45,14,0.311111,0.195285,0.456651
pybullet_validation,filtered_bc_mppi,collision_rate,20,0,0.0,0.0,0.16113
pybullet_validation,filtered_bc_mppi,safety_violation_rate,20,3,0.15,0.052368,0.360423
pybullet_validation,filtered_bc_mppi,success_rate,20,0,0.0,0.0,0.16113
pybullet_validation,filtered_bc_mppi,latency_violation_rate,20,0,0.0,0.0,0.16113
pybullet_validation,mppi,collision_rate,20,0,0.0,0.0,0.16113
pybullet_validation,mppi,safety_violation_rate,20,0,0.0,0.0,0.16113
pybullet_validation,mppi,success_rate,20,13,0.65,0.432851,0.81881
pybullet_validation,mppi,latency_violation_rate,20,0,0.0,0.0,0.16113
pybullet_validation,plain_bc_mppi,collision_rate,20,3,0.15,0.052368,0.360423
pybullet_validation,plain_bc_mppi,safety_violation_rate,20,7,0.35,0.18119,0.567149
pybullet_validation,plain_bc_mppi,success_rate,20,0,0.0,0.0,0.16113
pybullet_validation,plain_bc_mppi,latency_violation_rate,20,2,0.1,0.027866,0.301038
pybullet_validation,rrt_star,collision_rate,20,0,0.0,0.0,0.16113
pybullet_validation,rrt_star,safety_violation_rate,20,2,0.1,0.027866,0.301038
pybullet_validation,rrt_star,success_rate,20,15,0.75,0.531295,0.88814
pybullet_validation,rrt_star,latency_violation_rate,20,0,0.0,0.0,0.16113
